1,サーモン,熊のお気に入り！,sushi_salmon
2,炙りサーモン,ちょっと焼かれて、さらに美味しくなったよ！,sushi_aburi_salmon
3,はまち,"""浜のプリンス""だよ！",sushi_hamachi
4,えんがわ,寿司の靴底だけど、美味しいよ！,sushi_engawa
5,いわし,小さいけど、栄養満点だよ！,sushi_iwashi
6,えび,海のバレリーナだよ！,sushi_ebi
7,いか,海のインク職人だよ！,sushi_ika
8,たこ,海のタコ焼きだけど、焼かれてないよ！,sushi_tako
9,穴子,海のドラゴンだよ！,sushi_anago
10,たまご,寿司のデザートだよ！,sushi_tamago
11,真鯛,お祝い事のスペシャルゲストだよ！,sushi_tai
12,ほたて,海のスケールドピアノだよ！,sushi_hotate
13,まぐろ(赤身),寿司のステーキだよ！,sushi_akami
14,中トロ,マグロのクリームブリュレだよ！,sushi_chutoro
15,大トロ,マグロの最上級部分、まるで海のバターだよ！,sushi_ootoro
16,いくら,海のキャビアだよ！,sushi_ikura
17,うに,海のブリュレチーズケーキだよ！,sushi_uni2
18,納豆巻き,寿司界の挑戦者だよ！好き嫌いが分かれるけど、好きな人にとっては最高だよ,sushi_makimono_nattou
19,いなり寿司,甘くて美味しい、寿司界のドーナツだよ！,food_inarizushi_one
20,ネギトロ巻き,マグロとネギの最高コンビだよ！一緒になると最強さ,makimono_negitoro
21,フライドポテト,フライドポテトも寿司ネタになる？それなら、寿司界のフレンチフライだね,food_fried_potato_dish
22,茶碗蒸し,寿司屋さんで一息つくための温かい友達だよ,food_chawanmushi
23,お味噌汁,食事を締めくくるために必要な、温かくて優しい存在さ,food_misoshiru_asari
24,デザート,食事を終える甘いご褒美！お疲れ様でした,sweets_maccha_pafe_parfait
